# e/g shape veto vs |ieta|, hwPt
# Index is (|ieta|-1)*256*64+shape*256+hwPt
# Veto corresponding to 99.5% efficiency.
#anything after # is ignored with the exception of the header
#the header is first valid line starting with #<header> versionStr(unused but may be in future) nrBitsAddress nrBitsData </header>
#<header> V1 19 1 </header>

357 1 # ieta=1, shape=1, ET=101
358 1 # ieta=1, shape=1, ET=102
359 1 # ieta=1, shape=1, ET=103
360 1 # ieta=1, shape=1, ET=104
361 1 # ieta=1, shape=1, ET=105
362 1 # ieta=1, shape=1, ET=106
363 1 # ieta=1, shape=1, ET=107
364 1 # ieta=1, shape=1, ET=108
365 1 # ieta=1, shape=1, ET=109
366 1 # ieta=1, shape=1, ET=110
367 1 # ieta=1, shape=1, ET=111
368 1 # ieta=1, shape=1, ET=112
369 1 # ieta=1, shape=1, ET=113
370 1 # ieta=1, shape=1, ET=114
371 1 # ieta=1, shape=1, ET=115
372 1 # ieta=1, shape=1, ET=116
373 1 # ieta=1, shape=1, ET=117
374 1 # ieta=1, shape=1, ET=118
375 1 # ieta=1, shape=1, ET=119
376 1 # ieta=1, shape=1, ET=120
377 1 # ieta=1, shape=1, ET=121
378 1 # ieta=1, shape=1, ET=122
379 1 # ieta=1, shape=1, ET=123
380 1 # ieta=1, shape=1, ET=124
381 1 # ieta=1, shape=1, ET=125
382 1 # ieta=1, shape=1, ET=126
383 1 # ieta=1, shape=1, ET=127
384 1 # ieta=1, shape=1, ET=128
385 1 # ieta=1, shape=1, ET=129
386 1 # ieta=1, shape=1, ET=130
387 1 # ieta=1, shape=1, ET=131
388 1 # ieta=1, shape=1, ET=132
389 1 # ieta=1, shape=1, ET=133
390 1 # ieta=1, shape=1, ET=134
391 1 # ieta=1, shape=1, ET=135
392 1 # ieta=1, shape=1, ET=136
393 1 # ieta=1, shape=1, ET=137
394 1 # ieta=1, shape=1, ET=138
395 1 # ieta=1, shape=1, ET=139
396 1 # ieta=1, shape=1, ET=140
397 1 # ieta=1, shape=1, ET=141
398 1 # ieta=1, shape=1, ET=142
399 1 # ieta=1, shape=1, ET=143
400 1 # ieta=1, shape=1, ET=144
401 1 # ieta=1, shape=1, ET=145
402 1 # ieta=1, shape=1, ET=146
403 1 # ieta=1, shape=1, ET=147
404 1 # ieta=1, shape=1, ET=148
405 1 # ieta=1, shape=1, ET=149
406 1 # ieta=1, shape=1, ET=150
407 1 # ieta=1, shape=1, ET=151
408 1 # ieta=1, shape=1, ET=152
409 1 # ieta=1, shape=1, ET=153
410 1 # ieta=1, shape=1, ET=154
411 1 # ieta=1, shape=1, ET=155
412 1 # ieta=1, shape=1, ET=156
413 1 # ieta=1, shape=1, ET=157
414 1 # ieta=1, shape=1, ET=158
415 1 # ieta=1, shape=1, ET=159
416 1 # ieta=1, shape=1, ET=160
417 1 # ieta=1, shape=1, ET=161
418 1 # ieta=1, shape=1, ET=162
419 1 # ieta=1, shape=1, ET=163
420 1 # ieta=1, shape=1, ET=164
421 1 # ieta=1, shape=1, ET=165
422 1 # ieta=1, shape=1, ET=166
423 1 # ieta=1, shape=1, ET=167
424 1 # ieta=1, shape=1, ET=168
425 1 # ieta=1, shape=1, ET=169
426 1 # ieta=1, shape=1, ET=170
427 1 # ieta=1, shape=1, ET=171
428 1 # ieta=1, shape=1, ET=172
429 1 # ieta=1, shape=1, ET=173
430 1 # ieta=1, shape=1, ET=174
431 1 # ieta=1, shape=1, ET=175
432 1 # ieta=1, shape=1, ET=176
433 1 # ieta=1, shape=1, ET=177
434 1 # ieta=1, shape=1, ET=178
435 1 # ieta=1, shape=1, ET=179
436 1 # ieta=1, shape=1, ET=180
437 1 # ieta=1, shape=1, ET=181
438 1 # ieta=1, shape=1, ET=182
439 1 # ieta=1, shape=1, ET=183
440 1 # ieta=1, shape=1, ET=184
441 1 # ieta=1, shape=1, ET=185
442 1 # ieta=1, shape=1, ET=186
443 1 # ieta=1, shape=1, ET=187
444 1 # ieta=1, shape=1, ET=188
445 1 # ieta=1, shape=1, ET=189
446 1 # ieta=1, shape=1, ET=190
447 1 # ieta=1, shape=1, ET=191
448 1 # ieta=1, shape=1, ET=192
449 1 # ieta=1, shape=1, ET=193
450 1 # ieta=1, shape=1, ET=194
451 1 # ieta=1, shape=1, ET=195
452 1 # ieta=1, shape=1, ET=196
453 1 # ieta=1, shape=1, ET=197
454 1 # ieta=1, shape=1, ET=198
455 1 # ieta=1, shape=1, ET=199
456 1 # ieta=1, shape=1, ET=200
457 1 # ieta=1, shape=1, ET=201
458 1 # ieta=1, shape=1, ET=202
459 1 # ieta=1, shape=1, ET=203
